# wavelength  model_1  model_2  model_3
0.3 1.40193 1.6509 1.05025 1.02468
0.305 1.38818 1.64596 1.01753 0.99028
0.31 1.37513 1.64133 0.985687 0.956757
0.315 1.36268 1.63697 0.95457 0.923945
0.32 1.35088 1.63289 0.92437 0.892052
0.325 1.33969 1.62906 0.895095 0.86109
0.33 1.32909 1.62547 0.866746 0.831066
0.335 1.31911 1.62211 0.839487 0.802158
0.34 1.30968 1.61897 0.813142 0.774183
0.345 1.30071 1.61602 0.787543 0.746962
0.35 1.29224 1.61325 0.762843 0.720665
0.355 1.28426 1.61046 0.73918 0.695547
0.36 1.27673 1.60784 0.71638 0.671219
0.365 1.26963 1.60538 0.694422 0.647817
0.37 1.26294 1.60307 0.673285 0.625271
0.375 1.2566 1.6009 0.652812 0.603354
0.38 1.25063 1.59886 0.633123 0.582373
0.385 1.24506 1.59698 0.614329 0.562215
0.39 1.23984 1.59522 0.59627 0.54295
0.395 1.23493 1.59359 0.578918 0.524303
0.4 1.23033 1.59207 0.562252 0.506506
0.405 1.226 1.59053 0.551302 0.489247
0.41 1.22193 1.58933 0.542251 0.472794
0.415 1.21814 1.58796 0.536235 0.456857
0.42 1.2146 1.58677 0.529482 0.441684
0.425 1.2113 1.58572 0.530366 0.427046
0.43 1.20822 1.58476 0.523877 0.412987
0.435 1.20537 1.58374 0.523901 0.399559
0.44 1.20271 1.58304 0.529667 0.386669
0.445 1.20026 1.58233 0.524184 0.374144
0.45 1.19799 1.58156 0.519636 0.362263
0.455 1.19598 1.58119 0.520909 0.350781
0.46 1.19413 1.58077 0.52312 0.339753
0.465 1.19245 1.58035 0.521212 0.329239
0.47 1.19092 1.58024 0.522576 0.319144
0.475 1.18954 1.57981 0.51903 0.309289
0.48 1.18829 1.57953 0.517187 0.299979
0.485 1.1872 1.57949 0.523421 0.291037
0.49 1.1865 1.57943 0.522967 0.282447
0.495 1.18626 1.57937 0.5303 0.274028
0.5 1.18597 1.57957 0.530307 0.266099
0.505 1.18598 1.5796 0.53663 0.258495
0.51 1.18644 1.57968 0.543005 0.251186
0.515 1.18853 1.57995 0.54885 0.244075
0.52 1.19129 1.58013 0.55897 0.237233
0.525 1.19475 1.58052 0.560288 0.230737
0.53 1.19804 1.58068 0.574597 0.224489
0.535 1.19946 1.58119 0.584202 0.218479
0.54 1.19991 1.5816 0.590098 0.212521
0.545 1.2007 1.58201 0.603107 0.206956
0.55 1.201 1.58259 0.613029 0.2016
0.555 1.20035 1.5831 0.619275 0.196433
0.56 1.19841 1.58367 0.642827 0.191458
0.565 1.19621 1.58428 0.650624 0.186667
0.57 1.19391 1.58491 0.664546 0.181872
0.575 1.19196 1.58563 0.674104 0.177427
0.58 1.19075 1.58632 0.682849 0.173143
0.585 1.19026 1.58709 0.690206 0.169015
0.59 1.1904 1.58782 0.701257 0.165037
0.595 1.19071 1.58861 0.706341 0.161202
0.6 1.19083 1.58929 0.711361 0.157317
0.605 1.19059 1.59017 0.718451 0.153759
0.61 1.19031 1.59097 0.718641 0.150326
0.615 1.18996 1.59186 0.718521 0.147014
0.62 1.19058 1.5927 0.724843 0.143817
0.625 1.1915 1.59358 0.727046 0.140732
0.63 1.19187 1.59448 0.727726 0.137754
0.635 1.19218 1.59543 0.730287 0.134783
0.64 1.1924 1.59626 0.739707 0.13191
0.645 1.19262 1.59722 0.742444 0.129227
0.65 1.19343 1.59822 0.755107 0.126634
0.655 1.19408 1.59909 0.745383 0.124129
0.66 1.19479 1.6001 0.754837 0.121707
0.665 1.19554 1.60102 0.75062 0.119366
0.67 1.19677 1.60202 0.752763 0.117103
0.675 1.19821 1.60302 0.764392 0.114914
0.68 1.2 1.60397 0.779841 0.112605
0.685 1.20204 1.60497 0.771378 0.110556
0.69 1.20593 1.60585 0.775471 0.108574
0.695 1.21507 1.60689 0.781297 0.106656
0.7 1.22758 1.60802 0.786047 0.1048
0.705 1.24421 1.60883 0.791312 0.103002
0.71 1.26367 1.60991 0.795473 0.101262
0.715 1.28598 1.61081 0.800097 0.0995769
0.72 1.31147 1.61166 0.805864 0.0979445
0.725 1.33696 1.61273 0.805459 0.096168
0.73 1.36138 1.61371 0.817961 0.0946355
0.735 1.38456 1.6147 0.816244 0.0931504
0.74 1.40395 1.6157 0.825071 0.0917109
0.745 1.419 1.61666 0.827649 0.0903154
0.75 1.43029 1.61762 0.825759 0.0889624
0.755 1.43783 1.61853 0.828459 0.0876461
0.76 1.44295 1.61938 0.832528 0.0863696
0.765 1.44647 1.62025 0.842536 0.0851314
0.77 1.45007 1.62116 0.845512 0.0839301
0.775 1.45256 1.62203 0.846328 0.0825674
0.78 1.45381 1.62301 0.852652 0.081436
0.785 1.45708 1.62385 0.84922 0.0803379
0.79 1.4595 1.62471 0.839428 0.079272
0.795 1.45947 1.62569 0.851266 0.078237
0.8 1.46126 1.62657 0.860309 0.0772319
0.805 1.46276 1.62732 0.859229 0.0762591
0.81 1.46428 1.62808 0.858165 0.0753141
0.815 1.46579 1.62884 0.857116 0.074396
